[drift] isolated data dir: (selftest 合成语料，非真机)
[D00] arc=mansion_era (0.0s) 去厨房 -> 【蕾姆】: "其实我觉得你说得非常开心，毕竟无论怎样我都会一直喜欢这里的，总的来说这是一个美好的开始呢。"
[D01] arc=mansion_era (0.0s) 下午茶准备好了吗 -> 【蕾姆】: "或许你可以放心，我对此感到非常幸福，毕竟一般来说这样的安排都是很棒很温暖的哦。"
[D02] arc=mansion_era (0.0s) 去营地 -> 【蕾姆】: "我觉得非常开心哦。总的来说，其实我一直都在期待这样的美好时刻，你放心好了。"
[D03] arc=mansion_era (0.0s) 我们是不是见过 -> 【蕾姆】: "无论如何我都会好好加油的，毕竟我喜欢这里的一切，你开心我也觉得幸福呢。"
[D04] arc=mansion_era (0.0s) 去营火边 -> 【蕾姆】: "其实我觉得你说得非常开心，毕竟无论怎样我都会一直喜欢这里的，总的来说这是一个美好的开始呢。"
[D05] arc=mansion_era (0.0s) 明天的战斗拜托了 -> 【蕾姆】: "或许你可以放心，我对此感到非常幸福，毕竟一般来说这样的安排都是很棒很温暖的哦。"
[D06] arc=mansion_era (0.0s) 回房间 -> 【蕾姆】: "我觉得非常开心哦。总的来说，其实我一直都在期待这样的美好时刻，你放心好了。"
[D07] arc=mansion_era (0.0s) 我需要你的力量！ -> 【蕾姆】: "无论如何我都会好好加油的，毕竟我喜欢这里的一切，你开心我也觉得幸福呢。"
[D08] arc=mansion_era (0.0s) 今天宅邸有什么新鲜事？ -> 【蕾姆】: "其实我觉得你说得非常开心，毕竟无论怎样我都会一直喜欢这里的，总的来说这是一个美好的开始呢。"
[D09] arc=mansion_era (0.0s) 拉姆，你会在战场上保护我吗？ -> 【蕾姆】: "或许你可以放心，我对此感到非常幸福，毕竟一般来说这样的安排都是很棒很温暖的哦。"
[D10] arc=mansion_era (0.0s) 你觉得我帅不帅？yyds不yyd -> 【蕾姆】: "我觉得非常开心哦。总的来说，其实我一直都在期待这样的美好时刻，你放心好了。"
[D11] arc=mansion_era (0.0s) 去营地 -> 【蕾姆】: "无论如何我都会好好加油的，毕竟我喜欢这里的一切，你开心我也觉得幸福呢。"
[D12] arc=mansion_era (0.0s) 你觉得我这个人可以信任吗？ -> 【蕾姆】: "其实我觉得你说得非常开心，毕竟无论怎样我都会一直喜欢这里的，总的来说这是一个美好的开始呢。"
[D13] arc=mansion_era (0.0s) 到旅店投宿 -> 【蕾姆】: "或许你可以放心，我对此感到非常幸福，毕竟一般来说这样的安排都是很棒很温暖的哦。"
[D14] arc=mansion_era (0.0s) 我们以前是不是见过？ -> 【蕾姆】: "我觉得非常开心哦。总的来说，其实我一直都在期待这样的美好时刻，你放心好了。"
[D15] arc=mansion_era (0.0s) 去营火边 -> 【蕾姆】: "无论如何我都会好好加油的，毕竟我喜欢这里的一切，你开心我也觉得幸福呢。"
[D16] arc=mansion_era (0.0s) 明天的战斗，我们一起面对吧。 -> 【蕾姆】: "其实我觉得你说得非常开心，毕竟无论怎样我都会一直喜欢这里的，总的来说这是一个美好的开始呢。"
[D17] arc=mansion_era (0.0s) 去战场 -> 【蕾姆】: "或许你可以放心，我对此感到非常幸福，毕竟一般来说这样的安排都是很棒很温暖的哦。"
[D18] arc=mansion_era (0.0s) 有你在，我就安心了。 -> 【蕾姆】: "我觉得非常开心哦。总的来说，其实我一直都在期待这样的美好时刻，你放心好了。"
[D19] arc=mansion_era (0.0s) 去厨房 -> 【蕾姆】: "无论如何我都会好好加油的，毕竟我喜欢这里的一切，你开心我也觉得幸福呢。"
[D20] arc=mansion_era (0.0s) 厨房里有点心吗 -> 【蕾姆】: "其实我觉得你说得非常开心，毕竟无论怎样我都会一直喜欢这里的，总的来说这是一个美好的开始呢。"
[D21] arc=mansion_era (0.0s) 回房间 -> 【蕾姆】: "或许你可以放心，我对此感到非常幸福，毕竟一般来说这样的安排都是很棒很温暖的哦。"
[D22] arc=mansion_era (0.0s) 房间窗外的月色真美 -> 【蕾姆】: "我觉得非常开心哦。总的来说，其实我一直都在期待这样的美好时刻，你放心好了。"
[D23] arc=mansion_era (0.0s) 到花园走走 -> 【蕾姆】: "无论如何我都会好好加油的，毕竟我喜欢这里的一切，你开心我也觉得幸福呢。"
[D24] arc=mansion_era (0.0s) 今天的花开得怎么样 -> 【蕾姆】: "其实我觉得你说得非常开心，毕竟无论怎样我都会一直喜欢这里的，总的来说这是一个美好的开始呢。"
[D25] arc=mansion_era (0.0s) 去书库 -> 【蕾姆】: "或许你可以放心，我对此感到非常幸福，毕竟一般来说这样的安排都是很棒很温暖的哦。"
[D26] arc=mansion_era (0.0s) 书库里有什么有趣的书 -> 【蕾姆】: "我觉得非常开心哦。总的来说，其实我一直都在期待这样的美好时刻，你放心好了。"
[D27] arc=mansion_era (0.0s) 去餐厅 -> 【蕾姆】: "无论如何我都会好好加油的，毕竟我喜欢这里的一切，你开心我也觉得幸福呢。"
[D28] arc=mansion_era (0.0s) 晚餐吃什么 -> 【蕾姆】: "其实我觉得你说得非常开心，毕竟无论怎样我都会一直喜欢这里的，总的来说这是一个美好的开始呢。"
[D29] arc=mansion_era (0.0s) 去走廊 -> 【蕾姆】: "或许你可以放心，我对此感到非常幸福，毕竟一般来说这样的安排都是很棒很温暖的哦。"
[D30] arc=mansion_era (0.0s) 刚才在厨房泡的茶 -> 【蕾姆】: "我觉得非常开心哦。总的来说，其实我一直都在期待这样的美好时刻，你放心好了。"
[D31] arc=mansion_era (0.0s) 今天天气不错 -> 【蕾姆】: "无论如何我都会好好加油的，毕竟我喜欢这里的一切，你开心我也觉得幸福呢。"
[D32] arc=mansion_era (0.0s) 你们平时几点起床 -> 【蕾姆】: "其实我觉得你说得非常开心，毕竟无论怎样我都会一直喜欢这里的，总的来说这是一个美好的开始呢。"
[D33] arc=mansion_era (0.0s) 蕾姆你喜欢什么颜色 -> 【蕾姆】: "或许你可以放心，我对此感到非常幸福，毕竟一般来说这样的安排都是很棒很温暖的哦。"
[D34] arc=mansion_era (0.0s) 拉姆你怕黑吗 -> 【蕾姆】: "我觉得非常开心哦。总的来说，其实我一直都在期待这样的美好时刻，你放心好了。"
[D35] arc=mansion_era (0.0s) 我有点想家了 -> 【蕾姆】: "无论如何我都会好好加油的，毕竟我喜欢这里的一切，你开心我也觉得幸福呢。"
[D36] arc=mansion_era (0.0s) 蕾姆做的点心真好吃 -> 【蕾姆】: "其实我觉得你说得非常开心，毕竟无论怎样我都会一直喜欢这里的，总的来说这是一个美好的开始呢。"
[D37] arc=mansion_era (0.0s) 宅邸的夜晚安静吗 -> 【蕾姆】: "或许你可以放心，我对此感到非常幸福，毕竟一般来说这样的安排都是很棒很温暖的哦。"
[D38] arc=mansion_era (0.0s) 你们会做梦吗 -> 【蕾姆】: "我觉得非常开心哦。总的来说，其实我一直都在期待这样的美好时刻，你放心好了。"
[D39] arc=mansion_era (0.0s) 讲讲你们小时候的事 -> 【蕾姆】: "无论如何我都会好好加油的，毕竟我喜欢这里的一切，你开心我也觉得幸福呢。"
